"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Xavier Johnson","LAFAYETTE",51,32.05,"D"
"Jaelen Collins","N ARIZONA",25,31.74,"D"
"Lamont Payne","DELWARE ST",55,30.69,"D"
"Azayvonne Stribling","ARKAPB",30,30.31,"D"
"Syncere Safeeullah","TENN STATE",26,30.07,"D"
"Auntrell Ross","BETH COOK",20,30.01,"D"
"Alijah Prosser","TXRG",44,29.99,"D"
"Dylon Henderson","SAMFORD",58,29.68,"D"
"Justin Johnson","FORDHAM",54,29.59,"D"
"RJ Pooler","PRESBYTERN",22,29.46,"D"
"Crawford Cantave","MERRIMACK",15,29.35,"D"
"Quincy Briggs","GEORGETOWN",45,29.1,"D"
"Evan Harrell","N COLORADO",33,28.67,"D"
"Marquis Cooper","TOWSON",55,28.49,"D"
"Ty Boler","NEW HAMP",30,28.12,"D"
"Mike Mitchell","SE LA",26,28.02,"D"
"Anthony Young","N ALABAMA",49,27.93,"D"
"Connor Adams","FURMAN",16,27.85,"D"
"Dantonio Hackworth Jr.","MORGAN ST",34,27.83,"D"
"Da'Quan Gonzales","NEW HAMP",36,27.49,"D"
"Chase Smith","ARKAPB",19,27.36,"D"
"Kandyn Cordova","MCNEESE",18,27.14,"D"
"Aki Harvey","MORGAN ST",36,26.5,"D"
"DeVonta Owens","LNDNWD",36,26.04,"D"
"Gary Bailey Jr.","NICHOLLS",45,26.01,"D"
"Colin Douglas","TXAMEA",17,25.68,"D"
"Noah Holton","SAMFORD",63,25.55,"D"
"Sean Johnson","TEXAS STHN",20,25.25,"D"
"MJ Hinson","TEXAS STHN",51,24.96,"D"
"Torrion White","DELWARE ST",29,24.44,"D"
"Mikeece Jones","TENN STATE",28,24.39,"D"
"Delano Franklin","GRAMBLING",51,24.03,"D"
"Tymaries Durant","PRESBYTERN",20,23.41,"D"
"Luke Hill","MORGAN ST",33,22.88,"D"
"Sean Webb","NEW HAMP",52,22.33,"D"
"Jace Williams","NWSTATE",27,21.82,"D"
"Jordan Miller","FURMAN",54,20.39,"D"
"Mika Roberson","IDAHO",35,19.7,"F"
"Deuce Cooper","LIUSHAR",60,19.67,"F"
"Ryan Robinson Jr.","TEXAS STHN",36,19.37,"F"
"Colton Davis","BUCKNELL",45,18.69,"F"
"Jerry Addo-Boateng","E ILLINOIS",26,18.41,"F"
"Darius Searles","MORGAN ST",25,16.57,"F"
"Isiah Bivins","IDAHO",27,16.32,"F"
"Ayden Babich","VA MILT IN",36,14.82,"F"
"Josiah Estes","SAN DIEGO",52,12.04,"F"
"Anthony Walk Jr.","INDIANA ST",51,11.05,"F"
"DK McGruder","CITADEL",45,4.13,"F"
"Brennon Thompson","NWSTATE",23,0,"F"
